PN,ATA_CHAPTER,SUB_CATEGORY,AIRCRAFT_FAMILY,AIRCRAFT_MODEL,ATOLYE_KABILIYETI,CLP_USD,FMV_USD,YURTICI_TAMIR_MALIYETI_USD,YURTDISI_TAMIR_MALIYETI_USD,FAAL_ADET,GAYRIFAAL_ADET,YURTICI_TAMIRDE_ADET,YURTDISI_TAMIRDE_ADET,ACIK_SATINALMA_ADET,EXCHANGE_IN_ADET,EXCHANGE_OUT_ADET,HOMEBASE_DEPO_ADET,TOPLAM_ENVANTER_ADET
PN-100039,52,DOORS,AIRBUS,A330-200,YOK,440,320,,440,2,1,0,1,0,0,0,1,5
PN-100040,25,EQUIPMENT / FURNISHINGS,AIRBUS,A330-200,VAR,2390,1900,760.0,1010,1,1,0,0,0,0,0,0,2
PN-100041,72,ENGINE,AIRBUS,A321neo,YOK,6970,3090,,4420,2,5,0,3,0,0,1,2,13
PN-100042,71,POWER PLANT,AIRBUS,A321-200,VAR,4770,2240,570.0,1230,2,0,0,1,0,0,0,2,5
PN-100043,30,ICE & RAIN PROTECTION,AIRBUS,A320neo,YOK,1610,650,,170,1,1,0,0,0,0,0,0,2
PN-100044,22,AUTO FLIGHT,AIRBUS,A330-200,VAR,1280,410,150.0,200,2,0,2,0,2,1,0,4,11
PN-100045,80,STARTING,AIRBUS,A321-200,YOK,8070,1240,,990,2,0,0,1,0,0,0,1,4
PN-100046,32,LANDING GEAR,BOEING,787-9,YOK,2210,1190,,1400,3,2,0,0,1,0,0,1,7
PN-100047,77,ENGINE INDICATING,AIRBUS,A320-200,YOK,10080,6470,,1500,2,1,0,1,0,0,0,0,4
PN-100048,56,WINDOWS,AIRBUS,A321-200,YOK,7200,4130,,1090,3,0,0,2,2,2,0,2,11
PN-100049,73,ENGINE FUEL AND CONTROL,AIRBUS,A321-200,YOK,840,400,,250,2,1,0,2,1,1,0,1,8
PN-100050,72,ENGINE,AIRBUS,A330-300,YOK,2240,1540,,2240,4,2,0,2,1,0,0,4,13
PN-100051,26,FIRE PROTECTION,AIRBUS,A330-200,YOK,4160,1430,,1240,1,0,0,1,0,0,0,0,2
PN-100052,30,ICE & RAIN PROTECTION,BOEING,737-800,YOK,2130,1180,,820,4,1,0,1,1,0,0,1,8
PN-100053,34,NAVIGATION,BOEING,777-F,VAR,4840,1590,370.0,510,12,3,0,4,0,1,0,2,22
PN-100054,34,NAVIGATION,AIRBUS,A321-200,VAR,450,110,50.0,80,6,0,1,1,0,0,1,3,12
PN-100055,22,AUTO FLIGHT,BOEING,737-800,YOK,870,410,,110,5,1,0,2,0,1,1,1,11
PN-100056,36,PNEUMATIC,AIRBUS,A319-100,VAR,950,670,160.0,300,4,0,0,1,0,1,1,2,9
PN-100057,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320neo,YOK,19300,6740,,3550,0,0,0,0,0,0,0,1,1
PN-100058,72,ENGINE,AIRBUS,A321neo,VAR,1220,650,310.0,570,2,1,0,1,0,0,0,1,5
PN-100059,56,WINDOWS,AIRBUS,A319-100,YOK,600,180,,130,1,0,0,1,0,0,0,1,3
PN-100060,77,ENGINE INDICATING,AIRBUS,A350-900,VAR,1470,910,280.0,450,1,0,0,1,0,0,0,1,3
PN-100061,72,ENGINE,BOEING,737-800,YOK,4150,810,,590,3,0,0,1,0,0,0,1,5
PN-100062,30,ICE & RAIN PROTECTION,BOEING,737-800,YOK,2920,460,,230,1,0,0,0,0,0,0,0,1
PN-100063,80,STARTING,AIRBUS,A330-200,VAR,15930,2150,2520.0,4180,1,0,0,0,0,1,0,0,2
PN-100064,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A350-900,YOK,510,300,,140,3,0,0,1,0,0,0,1,5
PN-100065,29,HYDRAULIC POWER,AIRBUS,A321-200,YOK,3200,1980,,1800,1,2,0,1,1,0,2,1,8
PN-100066,77,ENGINE INDICATING,AIRBUS,A319-100,YOK,1900,960,,1370,1,0,0,0,1,0,0,1,3
PN-100067,30,ICE & RAIN PROTECTION,AIRBUS,A320-200,YOK,2720,1060,,850,2,1,0,1,1,0,0,1,6
PN-100068,22,AUTO FLIGHT,BOEING,737-800,YOK,410,130,,50,2,0,0,1,0,0,0,1,4
PN-100069,34,NAVIGATION,BOEING,787-9,VAR,1790,490,90.0,150,9,0,0,1,3,2,1,2,18
PN-100070,73,ENGINE FUEL AND CONTROL,AIRBUS,A319-100,YOK,1170,720,,410,3,0,0,1,0,1,1,1,7
PN-100071,25,EQUIPMENT / FURNISHINGS,AIRBUS,A330-300,VAR,2390,1160,240.0,450,2,0,2,1,0,0,0,3,8
PN-100072,34,NAVIGATION,BOEING,737-800,YOK,4110,3310,,2420,4,0,0,1,0,0,1,2,8
PN-100073,24,ELECTRICAL POWER,BOEING,737 MAX 8,YOK,1540,390,,410,0,0,0,1,0,0,0,1,2
PN-100074,56,WINDOWS,AIRBUS,A330-300,YOK,2660,500,,400,2,0,0,0,0,0,1,0,3
PN-100075,34,NAVIGATION,AIRBUS,A350-900,YOK,26920,9140,,7860,1,0,0,0,0,0,0,1,2
PN-100076,29,HYDRAULIC POWER,BOEING,737-800,VAR,1500,1120,1500.0,1500,3,1,0,1,1,0,0,2,8
PN-100077,26,FIRE PROTECTION,BOEING,737 MAX 8,VAR,1420,460,470.0,740,1,0,1,0,0,0,0,0,2
PN-100078,36,PNEUMATIC,AIRBUS,A320-200,VAR,4870,3220,1500.0,1800,4,0,0,1,0,0,1,1,7
PN-100079,56,WINDOWS,BOEING,777-300ER,VAR,210,90,50.0,50,1,0,0,0,0,0,0,0,1
PN-100080,79,OIL,AIRBUS,A319-100,VAR,4640,1460,370.0,500,2,1,1,0,0,0,0,3,7
PN-100081,32,LANDING GEAR,BOEING,737 MAX 8,YOK,9720,4670,,2020,5,2,0,2,1,2,1,4,17
PN-100082,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320-200,VAR,630,290,130.0,160,3,2,0,1,0,1,0,3,10
PN-100083,74,IGNITION,AIRBUS,A320neo,YOK,8440,2140,,2470,1,0,0,1,0,0,0,0,2
PN-100084,52,DOORS,AIRBUS,A319-100,VAR,610,240,110.0,180,1,0,1,1,1,0,0,0,4
PN-100085,71,POWER PLANT,AIRBUS,A321neo,VAR,9070,5470,1300.0,2320,3,2,0,1,0,0,0,3,9
PN-100086,23,COMMUNICATIONS,AIRBUS,A321-200,VAR,1940,950,230.0,390,11,1,0,0,3,0,1,5,21
PN-100087,29,HYDRAULIC POWER,AIRBUS,A320-200,VAR,1500,830,220.0,270,1,0,0,0,0,1,0,0,2
PN-100088,72,ENGINE,AIRBUS,A321neo,YOK,5400,3100,,3610,1,1,0,1,0,0,1,1,5
PN-100089,74,IGNITION,AIRBUS,A321neo,YOK,4260,3570,,2240,15,7,0,12,4,1,2,14,55
PN-100090,32,LANDING GEAR,BOEING,737-900ER,VAR,3460,810,480.0,950,2,0,0,1,1,1,1,2,8
PN-100091,73,ENGINE FUEL AND CONTROL,BOEING,777-300ER,YOK,2300,410,,220,0,0,0,1,0,0,0,0,1
PN-100092,74,IGNITION,BOEING,737-800,YOK,3210,1870,,2460,2,0,0,1,0,0,0,0,3
PN-100093,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A320-200,VAR,1160,650,190.0,410,1,0,0,0,0,0,0,0,1
PN-100094,77,ENGINE INDICATING,AIRBUS,A321-200,VAR,2420,760,180.0,390,3,0,1,0,1,0,0,2,7
PN-100095,28,FUEL,BOEING,777-300ER,VAR,2380,1170,200.0,330,8,0,1,0,1,1,1,2,14
PN-100096,27,FLIGHT CONTROLS,AIRBUS,A320-200,YOK,2300,1090,,300,1,0,0,1,0,0,0,1,3
PN-100097,56,WINDOWS,AIRBUS,A321neo,YOK,2040,420,,680,1,0,0,0,0,0,0,1,2
PN-100098,52,DOORS,BOEING,777-F,YOK,1800,1010,,520,4,1,0,0,1,0,1,3,10
PN-100099,24,ELECTRICAL POWER,BOEING,777-F,VAR,1530,560,290.0,560,1,0,0,0,0,0,0,1,2
PN-100100,74,IGNITION,AIRBUS,A321neo,YOK,2830,1180,,910,1,0,0,0,0,0,0,0,1
PN-100101,26,FIRE PROTECTION,BOEING,737-800,YOK,850,320,,340,2,0,0,1,0,0,0,0,3
PN-100102,73,ENGINE FUEL AND CONTROL,AIRBUS,A321neo,YOK,5300,2240,,1810,1,0,0,1,0,0,1,1,4
PN-100103,21,AIR CONDITIONING,BOEING,737-800,YOK,2570,610,,910,2,2,0,0,0,0,1,1,6
PN-100104,73,ENGINE FUEL AND CONTROL,AIRBUS,A319-100,VAR,4920,2110,790.0,1240,1,0,1,0,0,0,0,1,3
PN-100105,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,VAR,910,510,170.0,260,4,0,1,2,1,1,0,1,10
PN-100106,73,ENGINE FUEL AND CONTROL,AIRBUS,A350-900,YOK,2370,600,,90,3,0,0,2,0,0,0,2,7
PN-100107,56,WINDOWS,AIRBUS,A320neo,VAR,3760,970,410.0,600,3,0,1,0,0,1,0,1,6
PN-100108,34,NAVIGATION,BOEING,737-800,YOK,5600,2750,,770,3,0,0,3,0,0,1,1,8
PN-100109,71,POWER PLANT,AIRBUS,A321-200,YOK,10610,5940,,8140,2,2,0,1,0,1,3,0,9
PN-100110,28,FUEL,BOEING,777-300ER,YOK,12460,4820,,4610,1,1,0,0,0,0,0,0,2
PN-100111,73,ENGINE FUEL AND CONTROL,BOEING,737 MAX 8,YOK,1230,240,,100,7,1,0,2,1,1,0,1,13
PN-100112,36,PNEUMATIC,AIRBUS,A330-200,YOK,23040,14930,,3600,1,0,0,1,0,0,1,1,4
PN-100113,32,LANDING GEAR,BOEING,737-900ER,YOK,13130,5990,,9510,3,2,0,1,0,0,2,1,9
PN-100114,35,OXYGEN,AIRBUS,A320neo,YOK,580,70,,50,4,1,0,1,1,0,1,1,9
PN-100115,36,PNEUMATIC,AIRBUS,A330-200,YOK,4000,1950,,1710,1,0,0,0,0,1,1,0,3
PN-100116,21,AIR CONDITIONING,AIRBUS,A320neo,VAR,6520,3900,1670.0,3360,12,4,1,2,2,0,1,3,25
PN-100117,24,ELECTRICAL POWER,BOEING,737 MAX 8,VAR,260,90,50.0,80,5,3,3,6,0,4,2,7,30
PN-100118,27,FLIGHT CONTROLS,BOEING,737 MAX 8,VAR,1080,390,90.0,150,6,1,3,1,1,0,1,2,15
PN-100119,23,COMMUNICATIONS,BOEING,777-300ER,YOK,5080,2250,,2430,1,0,0,0,0,0,0,1,2
PN-100120,32,LANDING GEAR,BOEING,737 MAX 8,YOK,19930,14170,,8380,0,0,0,0,0,0,0,1,1
PN-100121,56,WINDOWS,BOEING,777-F,YOK,670,140,,50,3,0,0,2,0,1,2,2,10
PN-100122,56,WINDOWS,AIRBUS,A320neo,YOK,5270,3490,,760,2,0,0,1,0,0,0,1,4
PN-100123,34,NAVIGATION,BOEING,777-300ER,VAR,6570,3410,1750.0,2850,1,0,0,0,0,1,1,0,3
PN-100124,76,ENGINE CONTROLS,AIRBUS,A330-300,YOK,1220,450,,310,5,1,0,2,4,1,1,3,17
PN-100125,36,PNEUMATIC,AIRBUS,A321neo,YOK,140,70,,50,1,0,0,0,0,0,0,1,2
PN-100126,23,COMMUNICATIONS,AIRBUS,A330-300,YOK,7270,5010,,2010,1,0,0,1,0,1,0,1,4
PN-100127,72,ENGINE,AIRBUS,A321-200,YOK,4680,3420,,2010,7,4,0,1,2,2,0,3,19
PN-100128,36,PNEUMATIC,AIRBUS,A321-200,VAR,5770,2110,790.0,990,1,0,0,0,1,0,0,0,2
PN-100129,52,DOORS,AIRBUS,A320neo,YOK,4700,1230,,510,1,1,0,1,0,0,0,1,4
PN-100130,36,PNEUMATIC,AIRBUS,A320-200,YOK,34640,23220,,4680,2,4,0,2,1,2,1,2,14
PN-100131,36,PNEUMATIC,AIRBUS,A330-200,YOK,18790,4040,,8180,3,1,0,1,0,0,0,1,6
PN-100132,23,COMMUNICATIONS,BOEING,777-300ER,YOK,16850,8010,,620,4,1,0,2,2,1,2,4,16
PN-100133,36,PNEUMATIC,AIRBUS,A350-900,VAR,530,350,200.0,360,5,2,1,1,0,3,0,2,14
PN-100134,73,ENGINE FUEL AND CONTROL,AIRBUS,A330-200,YOK,94930,36330,,56720,2,1,0,1,1,0,0,3,8
PN-100135,28,FUEL,AIRBUS,A321neo,VAR,320,140,50.0,60,1,0,0,0,0,0,0,0,1
PN-100136,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A321neo,VAR,830,290,140.0,200,1,0,0,1,0,0,0,1,3
PN-100137,21,AIR CONDITIONING,AIRBUS,A320neo,YOK,10570,5710,,4050,3,1,0,2,1,3,0,5,15
PN-100138,30,ICE & RAIN PROTECTION,BOEING,737 MAX 8,VAR,1450,680,700.0,1010,1,0,0,0,0,0,0,0,1
PN-100139,32,LANDING GEAR,AIRBUS,A320neo,YOK,2260,490,,240,3,0,0,1,1,0,1,2,8
PN-100140,80,STARTING,BOEING,737-800,YOK,1360,990,,890,4,1,0,2,1,0,0,1,9
PN-100141,26,FIRE PROTECTION,BOEING,737-800,VAR,1410,520,140.0,230,6,1,1,0,1,1,1,3,14
PN-100142,28,FUEL,AIRBUS,A330-300,YOK,820,190,,100,2,0,0,1,0,0,0,1,4
PN-100143,31,INDICATING / RECORDING SYSTEMS,BOEING,737 MAX 8,YOK,1570,840,,800,2,0,0,0,0,0,0,1,3
PN-100144,80,STARTING,AIRBUS,A321-200,YOK,870,210,,120,2,0,0,1,0,1,0,2,6
PN-100145,76,ENGINE CONTROLS,BOEING,777-300ER,VAR,590,240,70.0,130,4,1,1,0,0,0,1,1,8
PN-100146,21,AIR CONDITIONING,BOEING,737-800,VAR,2000,340,120.0,210,3,2,0,0,0,0,0,1,6
PN-100147,27,FLIGHT CONTROLS,BOEING,737-900ER,VAR,2740,1060,230.0,420,11,1,0,2,1,1,0,3,19
PN-100148,74,IGNITION,BOEING,737-800,YOK,1270,440,,240,1,0,0,0,0,0,0,1,2
PN-100149,22,AUTO FLIGHT,BOEING,737 MAX 8,YOK,16230,7740,,2540,4,1,0,1,0,0,0,1,7
PN-100150,76,ENGINE CONTROLS,BOEING,787-9,YOK,2630,720,,930,5,0,0,1,0,1,0,2,9
PN-100151,28,FUEL,AIRBUS,A321neo,VAR,2110,1200,300.0,490,1,1,1,0,0,1,0,1,5
PN-100152,77,ENGINE INDICATING,BOEING,737 MAX 8,YOK,890,620,,460,5,1,0,2,3,0,0,2,13
PN-100153,28,FUEL,BOEING,737-800,YOK,1750,870,,560,2,1,0,2,0,0,1,2,8
PN-100154,32,LANDING GEAR,AIRBUS,A321neo,YOK,470,220,,130,9,2,0,2,2,3,1,2,21
PN-100155,56,WINDOWS,BOEING,777-300ER,VAR,11560,4860,2160.0,3040,2,0,0,1,0,0,0,1,4
PN-100156,24,ELECTRICAL POWER,AIRBUS,A321-200,VAR,3700,1290,350.0,520,2,2,0,2,0,1,0,4,11
PN-100157,36,PNEUMATIC,AIRBUS,A330-300,YOK,240,160,,90,1,0,0,1,0,0,1,0,3
PN-100158,35,OXYGEN,AIRBUS,A320-200,YOK,18110,3250,,2780,1,0,0,0,0,0,0,1,2
PN-100159,73,ENGINE FUEL AND CONTROL,AIRBUS,A320neo,YOK,2420,870,,800,10,2,0,4,3,0,1,4,24
PN-100160,80,STARTING,BOEING,737 MAX 8,YOK,1210,340,,330,2,0,0,3,1,1,0,5,12
PN-100161,56,WINDOWS,AIRBUS,A321-200,VAR,180,80,50.0,50,0,0,0,0,0,0,0,1,1
PN-100162,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A321-200,VAR,1010,610,220.0,290,3,1,0,1,0,1,0,1,7
PN-100163,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A320neo,VAR,790,430,140.0,220,1,0,0,0,0,0,0,0,1
PN-100164,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A330-200,VAR,840,440,130.0,220,2,0,1,0,1,0,0,0,4
PN-100165,74,IGNITION,BOEING,737-900ER,YOK,10240,5940,,3800,3,2,0,1,2,0,1,2,11
PN-100166,29,HYDRAULIC POWER,BOEING,777-300ER,VAR,24450,19450,13720.0,19740,2,1,2,0,0,0,1,2,8
PN-100167,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320-200,YOK,7420,5250,,1050,2,0,0,1,0,1,0,1,5
PN-100168,29,HYDRAULIC POWER,AIRBUS,A330-300,VAR,3690,2170,950.0,1290,1,0,0,0,0,0,0,0,1
PN-100169,21,AIR CONDITIONING,AIRBUS,A321neo,VAR,107780,38590,6900.0,13870,1,1,0,0,0,0,1,2,5
PN-100170,23,COMMUNICATIONS,AIRBUS,A350-900,VAR,2990,1340,500.0,750,2,1,1,1,1,0,0,1,7
PN-100171,23,COMMUNICATIONS,AIRBUS,A321neo,VAR,920,150,120.0,170,2,1,2,1,1,0,0,1,8
PN-100172,73,ENGINE FUEL AND CONTROL,AIRBUS,A321-200,YOK,4810,1160,,570,3,2,0,9,3,0,1,1,19
PN-100173,71,POWER PLANT,AIRBUS,A321neo,YOK,113470,37520,,23130,2,0,0,1,1,0,0,2,6
PN-100174,71,POWER PLANT,AIRBUS,A330-300,YOK,10150,6230,,2160,2,1,0,1,0,1,0,1,6
PN-100175,34,NAVIGATION,AIRBUS,A330-200,YOK,5950,2380,,800,1,0,0,0,0,0,0,1,2
PN-100176,71,POWER PLANT,AIRBUS,A321neo,YOK,940,300,,60,3,1,0,1,1,0,0,0,6
PN-100177,25,EQUIPMENT / FURNISHINGS,BOEING,737 MAX 8,VAR,590,140,60.0,120,1,0,0,0,0,0,0,0,1
PN-100178,77,ENGINE INDICATING,BOEING,737-800,VAR,2480,940,200.0,340,1,0,0,0,0,0,0,0,1
PN-100179,35,OXYGEN,AIRBUS,A321-200,VAR,160,110,50.0,70,1,0,0,0,0,0,0,0,1
PN-100180,79,OIL,BOEING,737-900ER,YOK,26600,15070,,9260,13,2,0,4,0,0,0,7,26
PN-100181,24,ELECTRICAL POWER,BOEING,737 MAX 8,YOK,15520,8810,,7290,2,0,0,1,1,1,0,1,6
PN-100182,34,NAVIGATION,AIRBUS,A320-200,YOK,2440,700,,290,3,0,0,1,1,1,0,2,8
PN-100183,71,POWER PLANT,AIRBUS,A330-300,YOK,1720,670,,340,1,0,0,1,1,0,0,2,5
PN-100184,34,NAVIGATION,AIRBUS,A321-200,YOK,7030,3150,,1140,1,0,0,0,0,0,0,0,1
PN-100185,32,LANDING GEAR,BOEING,737-800,YOK,1210,530,,570,6,1,0,5,2,1,0,9,24
PN-100186,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320neo,YOK,380,100,,250,1,0,0,0,0,0,0,0,1
PN-100187,30,ICE & RAIN PROTECTION,BOEING,737-800,YOK,280,70,,90,1,1,0,1,0,0,0,0,3
PN-100188,27,FLIGHT CONTROLS,AIRBUS,A320neo,YOK,4410,2210,,2610,4,0,0,1,0,1,0,1,7
PN-100189,28,FUEL,AIRBUS,A330-200,VAR,1370,680,370.0,590,2,2,0,1,0,2,0,1,8
PN-100190,56,WINDOWS,BOEING,777-F,YOK,2630,1520,,760,1,0,0,1,0,0,0,0,2
PN-100191,52,DOORS,AIRBUS,A321-200,VAR,280,60,50.0,50,1,0,0,0,0,0,0,0,1
PN-100192,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737 MAX 8,YOK,540,240,,80,1,1,0,1,0,0,0,1,4
PN-100193,30,ICE & RAIN PROTECTION,BOEING,787-9,VAR,570,260,110.0,190,2,0,0,0,0,0,0,1,3
PN-100194,79,OIL,BOEING,737 MAX 8,YOK,180,50,,50,1,0,0,1,0,0,0,1,3
PN-100195,23,COMMUNICATIONS,AIRBUS,A320-200,YOK,650,530,,490,4,1,0,3,2,0,0,2,12
PN-100196,29,HYDRAULIC POWER,BOEING,737 MAX 8,VAR,750,300,80.0,130,2,0,0,0,0,0,0,1,3
PN-100197,24,ELECTRICAL POWER,AIRBUS,A319-100,VAR,1160,570,300.0,470,2,0,3,1,1,0,1,3,11
PN-100198,29,HYDRAULIC POWER,AIRBUS,A321-200,VAR,780,530,110.0,190,2,0,0,1,1,1,1,4,10
PN-100199,80,STARTING,BOEING,737 MAX 8,YOK,250,130,,100,7,2,0,2,1,1,1,2,16
PN-100200,30,ICE & RAIN PROTECTION,BOEING,737-800,YOK,14240,9310,,4980,2,1,0,0,0,1,0,1,5
PN-100201,77,ENGINE INDICATING,AIRBUS,A330-200,YOK,9920,2060,,1770,5,1,0,2,0,1,0,3,12
PN-100202,34,NAVIGATION,AIRBUS,A321-200,VAR,1930,1070,190.0,260,2,0,1,0,0,0,0,3,6
PN-100203,71,POWER PLANT,BOEING,737 MAX 8,YOK,3910,1410,,2100,2,1,0,2,1,2,1,2,11
PN-100204,32,LANDING GEAR,BOEING,737-800,YOK,1710,630,,110,2,0,0,0,0,0,0,1,3
PN-100205,27,FLIGHT CONTROLS,AIRBUS,A321neo,YOK,12840,9240,,4150,1,0,0,0,0,0,0,0,1
PN-100206,72,ENGINE,BOEING,777-300ER,YOK,11690,6480,,10500,7,1,0,1,1,4,0,3,17
PN-100207,80,STARTING,AIRBUS,A320neo,VAR,18270,11410,1800.0,3220,2,1,1,1,1,0,1,3,10
PN-100208,27,FLIGHT CONTROLS,AIRBUS,A320-200,YOK,1150,370,,260,4,1,0,2,1,0,1,2,11
PN-100209,73,ENGINE FUEL AND CONTROL,BOEING,737-800,YOK,6930,4020,,4750,2,1,0,1,0,0,0,1,5
PN-100210,27,FLIGHT CONTROLS,BOEING,787-9,YOK,10660,1780,,1280,9,3,0,7,2,1,2,4,28
PN-100211,71,POWER PLANT,AIRBUS,A320neo,YOK,5930,4270,,2370,2,1,0,1,0,0,0,1,5
PN-100212,73,ENGINE FUEL AND CONTROL,AIRBUS,A320neo,YOK,3120,1090,,540,4,2,0,3,1,0,0,2,12
PN-100213,32,LANDING GEAR,AIRBUS,A320-200,VAR,250,80,50.0,50,7,1,1,0,1,1,2,5,18
PN-100214,72,ENGINE,BOEING,737 MAX 8,YOK,6540,1550,,460,25,7,0,12,2,1,0,8,55
PN-100215,28,FUEL,AIRBUS,A320neo,YOK,1720,280,,130,2,0,0,1,1,0,0,1,5
PN-100216,23,COMMUNICATIONS,AIRBUS,A330-200,VAR,12860,4040,1120.0,1910,0,0,0,0,1,0,1,1,3
PN-100217,23,COMMUNICATIONS,BOEING,787-9,VAR,2090,300,70.0,100,1,0,0,0,0,0,0,0,1
