PN,ATA_CHAPTER,SUB_CATEGORY,AIRCRAFT_FAMILY,AIRCRAFT_MODEL,ATOLYE_KABILIYETI,YURTICI_TAT_GUN,YURTDISI_TAT_GUN,SATINALMA_TAT_GUN,KRITIKLIK_DURUMU,YIL,CEYREK,DONEM,THY_TALEP_ADET,POOL_TALEP_ADET,SCRAP_ADET
PN-100004,32,LANDING GEAR,AIRBUS,A320neo,YOK,,36,117,KRİTİK DEĞİL,2025,Q3,2025-Q3,5,2,1
PN-100004,32,LANDING GEAR,AIRBUS,A320neo,YOK,,36,117,KRİTİK DEĞİL,2025,Q4,2025-Q4,3,1,0
PN-100005,76,ENGINE CONTROLS,AIRBUS,A319-100,YOK,,38,40,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,0,1
PN-100005,76,ENGINE CONTROLS,AIRBUS,A319-100,YOK,,38,40,KRİTİK DEĞİL,2025,Q2,2025-Q2,0,0,0
PN-100005,76,ENGINE CONTROLS,AIRBUS,A319-100,YOK,,38,40,KRİTİK DEĞİL,2025,Q3,2025-Q3,0,0,0
PN-100005,76,ENGINE CONTROLS,AIRBUS,A319-100,YOK,,38,40,KRİTİK DEĞİL,2025,Q4,2025-Q4,0,0,0
PN-100006,23,COMMUNICATIONS,BOEING,777-F,VAR,8.0,38,41,KRİTİK,2025,Q1,2025-Q1,1,0,0
PN-100006,23,COMMUNICATIONS,BOEING,777-F,VAR,8.0,38,41,KRİTİK,2025,Q2,2025-Q2,1,0,0
PN-100006,23,COMMUNICATIONS,BOEING,777-F,VAR,8.0,38,41,KRİTİK,2025,Q3,2025-Q3,0,0,0
PN-100006,23,COMMUNICATIONS,BOEING,777-F,VAR,8.0,38,41,KRİTİK,2025,Q4,2025-Q4,2,0,0
PN-100007,71,POWER PLANT,BOEING,777-300ER,VAR,6.0,62,17,KRİTİK DEĞİL,2025,Q1,2025-Q1,7,3,1
PN-100007,71,POWER PLANT,BOEING,777-300ER,VAR,6.0,62,17,KRİTİK DEĞİL,2025,Q2,2025-Q2,8,2,1
PN-100007,71,POWER PLANT,BOEING,777-300ER,VAR,6.0,62,17,KRİTİK DEĞİL,2025,Q3,2025-Q3,13,1,1
PN-100007,71,POWER PLANT,BOEING,777-300ER,VAR,6.0,62,17,KRİTİK DEĞİL,2025,Q4,2025-Q4,8,1,1
PN-100008,26,FIRE PROTECTION,AIRBUS,A330-200,YOK,,32,23,KRİTİK DEĞİL,2025,Q1,2025-Q1,2,3,0
PN-100008,26,FIRE PROTECTION,AIRBUS,A330-200,YOK,,32,23,KRİTİK DEĞİL,2025,Q2,2025-Q2,0,1,0
PN-100008,26,FIRE PROTECTION,AIRBUS,A330-200,YOK,,32,23,KRİTİK DEĞİL,2025,Q3,2025-Q3,3,0,1
PN-100008,26,FIRE PROTECTION,AIRBUS,A330-200,YOK,,32,23,KRİTİK DEĞİL,2025,Q4,2025-Q4,2,0,0
PN-100009,23,COMMUNICATIONS,BOEING,737-800,YOK,,28,24,KRİTİK DEĞİL,2025,Q1,2025-Q1,6,0,1
PN-100009,23,COMMUNICATIONS,BOEING,737-800,YOK,,28,24,KRİTİK DEĞİL,2025,Q2,2025-Q2,11,3,3
PN-100009,23,COMMUNICATIONS,BOEING,737-800,YOK,,28,24,KRİTİK DEĞİL,2025,Q3,2025-Q3,8,5,1
PN-100009,23,COMMUNICATIONS,BOEING,737-800,YOK,,28,24,KRİTİK DEĞİL,2025,Q4,2025-Q4,5,0,0
PN-100010,35,OXYGEN,AIRBUS,A321neo,YOK,,30,21,KRİTİK DEĞİL,2025,Q1,2025-Q1,3,0,0
PN-100010,35,OXYGEN,AIRBUS,A321neo,YOK,,30,21,KRİTİK DEĞİL,2025,Q2,2025-Q2,1,2,0
PN-100010,35,OXYGEN,AIRBUS,A321neo,YOK,,30,21,KRİTİK DEĞİL,2025,Q3,2025-Q3,5,2,3
PN-100010,35,OXYGEN,AIRBUS,A321neo,YOK,,30,21,KRİTİK DEĞİL,2025,Q4,2025-Q4,1,3,1
PN-100011,80,STARTING,AIRBUS,A321neo,YOK,,47,46,KRİTİK DEĞİL,2025,Q1,2025-Q1,6,1,0
PN-100011,80,STARTING,AIRBUS,A321neo,YOK,,47,46,KRİTİK DEĞİL,2025,Q2,2025-Q2,3,2,0
PN-100011,80,STARTING,AIRBUS,A321neo,YOK,,47,46,KRİTİK DEĞİL,2025,Q3,2025-Q3,4,2,0
PN-100011,80,STARTING,AIRBUS,A321neo,YOK,,47,46,KRİTİK DEĞİL,2025,Q4,2025-Q4,7,0,0
PN-100012,72,ENGINE,AIRBUS,A320-200,YOK,,26,36,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,1,1
PN-100012,72,ENGINE,AIRBUS,A320-200,YOK,,26,36,KRİTİK DEĞİL,2025,Q2,2025-Q2,3,0,1
PN-100012,72,ENGINE,AIRBUS,A320-200,YOK,,26,36,KRİTİK DEĞİL,2025,Q3,2025-Q3,4,0,0
PN-100012,72,ENGINE,AIRBUS,A320-200,YOK,,26,36,KRİTİK DEĞİL,2025,Q4,2025-Q4,1,1,0
PN-100013,72,ENGINE,AIRBUS,A320-200,YOK,,74,17,AOG KRİTİK,2025,Q1,2025-Q1,1,0,0
PN-100013,72,ENGINE,AIRBUS,A320-200,YOK,,74,17,AOG KRİTİK,2025,Q2,2025-Q2,1,0,0
PN-100013,72,ENGINE,AIRBUS,A320-200,YOK,,74,17,AOG KRİTİK,2025,Q3,2025-Q3,1,0,0
PN-100013,72,ENGINE,AIRBUS,A320-200,YOK,,74,17,AOG KRİTİK,2025,Q4,2025-Q4,1,1,0
PN-100014,71,POWER PLANT,AIRBUS,A320neo,VAR,6.0,42,55,KRİTİK,2025,Q1,2025-Q1,4,2,1
PN-100014,71,POWER PLANT,AIRBUS,A320neo,VAR,6.0,42,55,KRİTİK,2025,Q2,2025-Q2,4,0,2
PN-100014,71,POWER PLANT,AIRBUS,A320neo,VAR,6.0,42,55,KRİTİK,2025,Q3,2025-Q3,7,1,0
PN-100014,71,POWER PLANT,AIRBUS,A320neo,VAR,6.0,42,55,KRİTİK,2025,Q4,2025-Q4,3,0,0
PN-100015,73,ENGINE FUEL AND CONTROL,BOEING,737 MAX 8,YOK,,50,68,KRİTİK DEĞİL,2025,Q1,2025-Q1,2,2,0
PN-100015,73,ENGINE FUEL AND CONTROL,BOEING,737 MAX 8,YOK,,50,68,KRİTİK DEĞİL,2025,Q2,2025-Q2,2,1,0
PN-100015,73,ENGINE FUEL AND CONTROL,BOEING,737 MAX 8,YOK,,50,68,KRİTİK DEĞİL,2025,Q3,2025-Q3,6,1,0
PN-100015,73,ENGINE FUEL AND CONTROL,BOEING,737 MAX 8,YOK,,50,68,KRİTİK DEĞİL,2025,Q4,2025-Q4,2,0,0
PN-100016,35,OXYGEN,AIRBUS,A320-200,YOK,,40,33,KRİTİK DEĞİL,2025,Q1,2025-Q1,13,2,3
PN-100016,35,OXYGEN,AIRBUS,A320-200,YOK,,40,33,KRİTİK DEĞİL,2025,Q2,2025-Q2,9,4,2
PN-100016,35,OXYGEN,AIRBUS,A320-200,YOK,,40,33,KRİTİK DEĞİL,2025,Q3,2025-Q3,13,6,2
PN-100016,35,OXYGEN,AIRBUS,A320-200,YOK,,40,33,KRİTİK DEĞİL,2025,Q4,2025-Q4,9,4,0
PN-100017,24,ELECTRICAL POWER,AIRBUS,A320neo,YOK,,34,34,KRİTİK,2025,Q1,2025-Q1,0,0,0
PN-100017,24,ELECTRICAL POWER,AIRBUS,A320neo,YOK,,34,34,KRİTİK,2025,Q2,2025-Q2,1,0,0
PN-100017,24,ELECTRICAL POWER,AIRBUS,A320neo,YOK,,34,34,KRİTİK,2025,Q3,2025-Q3,4,0,0
PN-100017,24,ELECTRICAL POWER,AIRBUS,A320neo,YOK,,34,34,KRİTİK,2025,Q4,2025-Q4,1,0,0
PN-100018,74,IGNITION,AIRBUS,A330-300,YOK,,26,19,KRİTİK,2025,Q1,2025-Q1,7,1,0
PN-100018,74,IGNITION,AIRBUS,A330-300,YOK,,26,19,KRİTİK,2025,Q2,2025-Q2,12,5,2
PN-100018,74,IGNITION,AIRBUS,A330-300,YOK,,26,19,KRİTİK,2025,Q3,2025-Q3,15,7,1
PN-100018,74,IGNITION,AIRBUS,A330-300,YOK,,26,19,KRİTİK,2025,Q4,2025-Q4,9,1,1
PN-100019,32,LANDING GEAR,AIRBUS,A320neo,YOK,,36,28,AOG KRİTİK,2025,Q1,2025-Q1,3,0,2
PN-100019,32,LANDING GEAR,AIRBUS,A320neo,YOK,,36,28,AOG KRİTİK,2025,Q2,2025-Q2,0,2,0
PN-100019,32,LANDING GEAR,AIRBUS,A320neo,YOK,,36,28,AOG KRİTİK,2025,Q3,2025-Q3,3,1,0
PN-100019,32,LANDING GEAR,AIRBUS,A320neo,YOK,,36,28,AOG KRİTİK,2025,Q4,2025-Q4,1,2,0
PN-100020,35,OXYGEN,AIRBUS,A320-200,VAR,7.0,22,49,KRİTİK DEĞİL,2025,Q1,2025-Q1,4,2,0
PN-100020,35,OXYGEN,AIRBUS,A320-200,VAR,7.0,22,49,KRİTİK DEĞİL,2025,Q2,2025-Q2,5,2,2
PN-100020,35,OXYGEN,AIRBUS,A320-200,VAR,7.0,22,49,KRİTİK DEĞİL,2025,Q3,2025-Q3,3,1,1
PN-100020,35,OXYGEN,AIRBUS,A320-200,VAR,7.0,22,49,KRİTİK DEĞİL,2025,Q4,2025-Q4,5,2,0
PN-100021,30,ICE & RAIN PROTECTION,AIRBUS,A330-300,VAR,8.0,44,22,KRİTİK,2025,Q1,2025-Q1,7,0,2
PN-100021,30,ICE & RAIN PROTECTION,AIRBUS,A330-300,VAR,8.0,44,22,KRİTİK,2025,Q2,2025-Q2,7,3,2
PN-100021,30,ICE & RAIN PROTECTION,AIRBUS,A330-300,VAR,8.0,44,22,KRİTİK,2025,Q3,2025-Q3,8,1,0
PN-100021,30,ICE & RAIN PROTECTION,AIRBUS,A330-300,VAR,8.0,44,22,KRİTİK,2025,Q4,2025-Q4,6,1,3
PN-100022,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321-200,VAR,8.0,36,82,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,0,0
PN-100022,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321-200,VAR,8.0,36,82,KRİTİK DEĞİL,2025,Q2,2025-Q2,2,1,0
PN-100022,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321-200,VAR,8.0,36,82,KRİTİK DEĞİL,2025,Q3,2025-Q3,2,0,0
PN-100022,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321-200,VAR,8.0,36,82,KRİTİK DEĞİL,2025,Q4,2025-Q4,0,1,0
PN-100023,79,OIL,AIRBUS,A350-900,YOK,,24,55,KRİTİK,2025,Q1,2025-Q1,3,1,0
PN-100023,79,OIL,AIRBUS,A350-900,YOK,,24,55,KRİTİK,2025,Q2,2025-Q2,1,0,0
PN-100023,79,OIL,AIRBUS,A350-900,YOK,,24,55,KRİTİK,2025,Q3,2025-Q3,1,1,0
PN-100023,79,OIL,AIRBUS,A350-900,YOK,,24,55,KRİTİK,2025,Q4,2025-Q4,1,2,0
PN-100024,73,ENGINE FUEL AND CONTROL,BOEING,777-300ER,YOK,,35,44,AOG KRİTİK,2025,Q1,2025-Q1,2,0,0
PN-100024,73,ENGINE FUEL AND CONTROL,BOEING,777-300ER,YOK,,35,44,AOG KRİTİK,2025,Q2,2025-Q2,1,0,0
PN-100024,73,ENGINE FUEL AND CONTROL,BOEING,777-300ER,YOK,,35,44,AOG KRİTİK,2025,Q3,2025-Q3,1,1,1
PN-100024,73,ENGINE FUEL AND CONTROL,BOEING,777-300ER,YOK,,35,44,AOG KRİTİK,2025,Q4,2025-Q4,1,0,0
PN-100025,52,DOORS,AIRBUS,A320-200,VAR,8.0,47,116,KRİTİK,2025,Q1,2025-Q1,0,0,0
PN-100025,52,DOORS,AIRBUS,A320-200,VAR,8.0,47,116,KRİTİK,2025,Q2,2025-Q2,1,0,0
PN-100025,52,DOORS,AIRBUS,A320-200,VAR,8.0,47,116,KRİTİK,2025,Q3,2025-Q3,0,0,0
PN-100025,52,DOORS,AIRBUS,A320-200,VAR,8.0,47,116,KRİTİK,2025,Q4,2025-Q4,1,0,0
PN-100026,31,INDICATING / RECORDING SYSTEMS,BOEING,777-300ER,VAR,3.0,63,62,KRİTİK,2025,Q1,2025-Q1,3,1,0
PN-100026,31,INDICATING / RECORDING SYSTEMS,BOEING,777-300ER,VAR,3.0,63,62,KRİTİK,2025,Q2,2025-Q2,4,2,0
PN-100026,31,INDICATING / RECORDING SYSTEMS,BOEING,777-300ER,VAR,3.0,63,62,KRİTİK,2025,Q3,2025-Q3,5,2,0
PN-100026,31,INDICATING / RECORDING SYSTEMS,BOEING,777-300ER,VAR,3.0,63,62,KRİTİK,2025,Q4,2025-Q4,1,1,1
PN-100027,74,IGNITION,BOEING,777-300ER,YOK,,24,24,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,0,0
PN-100027,74,IGNITION,BOEING,777-300ER,YOK,,24,24,KRİTİK DEĞİL,2025,Q2,2025-Q2,3,2,1
PN-100027,74,IGNITION,BOEING,777-300ER,YOK,,24,24,KRİTİK DEĞİL,2025,Q3,2025-Q3,1,0,0
PN-100027,74,IGNITION,BOEING,777-300ER,YOK,,24,24,KRİTİK DEĞİL,2025,Q4,2025-Q4,3,0,0
PN-100028,36,PNEUMATIC,BOEING,737 MAX 8,VAR,4.0,83,19,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,0,0
PN-100028,36,PNEUMATIC,BOEING,737 MAX 8,VAR,4.0,83,19,KRİTİK DEĞİL,2025,Q2,2025-Q2,1,1,0
PN-100028,36,PNEUMATIC,BOEING,737 MAX 8,VAR,4.0,83,19,KRİTİK DEĞİL,2025,Q3,2025-Q3,0,1,0
PN-100028,36,PNEUMATIC,BOEING,737 MAX 8,VAR,4.0,83,19,KRİTİK DEĞİL,2025,Q4,2025-Q4,2,0,0
PN-100029,32,LANDING GEAR,AIRBUS,A350-900,YOK,,33,34,KRİTİK,2025,Q1,2025-Q1,7,3,0
PN-100029,32,LANDING GEAR,AIRBUS,A350-900,YOK,,33,34,KRİTİK,2025,Q2,2025-Q2,9,3,1
PN-100029,32,LANDING GEAR,AIRBUS,A350-900,YOK,,33,34,KRİTİK,2025,Q3,2025-Q3,6,1,1
PN-100029,32,LANDING GEAR,AIRBUS,A350-900,YOK,,33,34,KRİTİK,2025,Q4,2025-Q4,9,7,1
PN-100030,32,LANDING GEAR,AIRBUS,A350-900,VAR,9.0,26,40,AOG KRİTİK,2025,Q1,2025-Q1,2,0,0
PN-100030,32,LANDING GEAR,AIRBUS,A350-900,VAR,9.0,26,40,AOG KRİTİK,2025,Q2,2025-Q2,0,0,0
PN-100030,32,LANDING GEAR,AIRBUS,A350-900,VAR,9.0,26,40,AOG KRİTİK,2025,Q3,2025-Q3,0,1,0
PN-100030,32,LANDING GEAR,AIRBUS,A350-900,VAR,9.0,26,40,AOG KRİTİK,2025,Q4,2025-Q4,2,0,0
PN-100031,26,FIRE PROTECTION,AIRBUS,A350-900,YOK,,68,19,KRİTİK DEĞİL,2025,Q1,2025-Q1,3,1,0
PN-100031,26,FIRE PROTECTION,AIRBUS,A350-900,YOK,,68,19,KRİTİK DEĞİL,2025,Q2,2025-Q2,6,0,0
PN-100031,26,FIRE PROTECTION,AIRBUS,A350-900,YOK,,68,19,KRİTİK DEĞİL,2025,Q3,2025-Q3,4,0,1
PN-100031,26,FIRE PROTECTION,AIRBUS,A350-900,YOK,,68,19,KRİTİK DEĞİL,2025,Q4,2025-Q4,5,1,1
PN-100032,23,COMMUNICATIONS,BOEING,737-800,YOK,,27,18,AOG KRİTİK,2025,Q1,2025-Q1,2,0,0
PN-100032,23,COMMUNICATIONS,BOEING,737-800,YOK,,27,18,AOG KRİTİK,2025,Q2,2025-Q2,0,0,0
PN-100032,23,COMMUNICATIONS,BOEING,737-800,YOK,,27,18,AOG KRİTİK,2025,Q3,2025-Q3,2,0,0
PN-100032,23,COMMUNICATIONS,BOEING,737-800,YOK,,27,18,AOG KRİTİK,2025,Q4,2025-Q4,0,0,0
PN-100033,36,PNEUMATIC,AIRBUS,A319-100,VAR,8.0,66,35,KRİTİK DEĞİL,2025,Q1,2025-Q1,0,0,0
PN-100033,36,PNEUMATIC,AIRBUS,A319-100,VAR,8.0,66,35,KRİTİK DEĞİL,2025,Q2,2025-Q2,2,0,1
PN-100033,36,PNEUMATIC,AIRBUS,A319-100,VAR,8.0,66,35,KRİTİK DEĞİL,2025,Q3,2025-Q3,4,1,2
PN-100033,36,PNEUMATIC,AIRBUS,A319-100,VAR,8.0,66,35,KRİTİK DEĞİL,2025,Q4,2025-Q4,2,0,0
PN-100034,77,ENGINE INDICATING,BOEING,777-F,YOK,,32,51,KRİTİK DEĞİL,2025,Q1,2025-Q1,0,1,0
PN-100034,77,ENGINE INDICATING,BOEING,777-F,YOK,,32,51,KRİTİK DEĞİL,2025,Q2,2025-Q2,4,1,0
PN-100034,77,ENGINE INDICATING,BOEING,777-F,YOK,,32,51,KRİTİK DEĞİL,2025,Q3,2025-Q3,4,1,0
PN-100034,77,ENGINE INDICATING,BOEING,777-F,YOK,,32,51,KRİTİK DEĞİL,2025,Q4,2025-Q4,3,1,0
PN-100035,22,AUTO FLIGHT,AIRBUS,A330-300,VAR,6.0,36,83,KRİTİK DEĞİL,2025,Q1,2025-Q1,6,5,0
PN-100035,22,AUTO FLIGHT,AIRBUS,A330-300,VAR,6.0,36,83,KRİTİK DEĞİL,2025,Q2,2025-Q2,5,4,0
PN-100035,22,AUTO FLIGHT,AIRBUS,A330-300,VAR,6.0,36,83,KRİTİK DEĞİL,2025,Q3,2025-Q3,11,6,1
PN-100035,22,AUTO FLIGHT,AIRBUS,A330-300,VAR,6.0,36,83,KRİTİK DEĞİL,2025,Q4,2025-Q4,5,6,1
PN-100036,76,ENGINE CONTROLS,BOEING,737-900ER,YOK,,25,34,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,1,0
PN-100036,76,ENGINE CONTROLS,BOEING,737-900ER,YOK,,25,34,KRİTİK DEĞİL,2025,Q2,2025-Q2,3,2,0
PN-100036,76,ENGINE CONTROLS,BOEING,737-900ER,YOK,,25,34,KRİTİK DEĞİL,2025,Q3,2025-Q3,3,3,0
PN-100036,76,ENGINE CONTROLS,BOEING,737-900ER,YOK,,25,34,KRİTİK DEĞİL,2025,Q4,2025-Q4,0,0,0
PN-100037,74,IGNITION,AIRBUS,A321-200,YOK,,59,40,KRİTİK DEĞİL,2025,Q1,2025-Q1,0,0,0
PN-100037,74,IGNITION,AIRBUS,A321-200,YOK,,59,40,KRİTİK DEĞİL,2025,Q2,2025-Q2,0,0,0
PN-100037,74,IGNITION,AIRBUS,A321-200,YOK,,59,40,KRİTİK DEĞİL,2025,Q3,2025-Q3,0,0,0
PN-100037,74,IGNITION,AIRBUS,A321-200,YOK,,59,40,KRİTİK DEĞİL,2025,Q4,2025-Q4,0,0,0
PN-100038,28,FUEL,AIRBUS,A319-100,YOK,,61,14,KRİTİK,2025,Q1,2025-Q1,2,2,2
PN-100038,28,FUEL,AIRBUS,A319-100,YOK,,61,14,KRİTİK,2025,Q2,2025-Q2,6,1,1
PN-100038,28,FUEL,AIRBUS,A319-100,YOK,,61,14,KRİTİK,2025,Q3,2025-Q3,5,0,2
PN-100038,28,FUEL,AIRBUS,A319-100,YOK,,61,14,KRİTİK,2025,Q4,2025-Q4,2,6,1
PN-100039,52,DOORS,AIRBUS,A330-200,YOK,,30,46,KRİTİK DEĞİL,2025,Q1,2025-Q1,0,1,0
PN-100039,52,DOORS,AIRBUS,A330-200,YOK,,30,46,KRİTİK DEĞİL,2025,Q2,2025-Q2,2,0,0
PN-100039,52,DOORS,AIRBUS,A330-200,YOK,,30,46,KRİTİK DEĞİL,2025,Q3,2025-Q3,2,0,0
PN-100039,52,DOORS,AIRBUS,A330-200,YOK,,30,46,KRİTİK DEĞİL,2025,Q4,2025-Q4,1,0,0
PN-100040,25,EQUIPMENT / FURNISHINGS,AIRBUS,A330-200,VAR,10.0,37,18,KRİTİK DEĞİL,2025,Q1,2025-Q1,0,0,0
PN-100040,25,EQUIPMENT / FURNISHINGS,AIRBUS,A330-200,VAR,10.0,37,18,KRİTİK DEĞİL,2025,Q2,2025-Q2,0,0,0
PN-100040,25,EQUIPMENT / FURNISHINGS,AIRBUS,A330-200,VAR,10.0,37,18,KRİTİK DEĞİL,2025,Q3,2025-Q3,0,0,0
PN-100040,25,EQUIPMENT / FURNISHINGS,AIRBUS,A330-200,VAR,10.0,37,18,KRİTİK DEĞİL,2025,Q4,2025-Q4,0,0,0
PN-100041,72,ENGINE,AIRBUS,A321neo,YOK,,61,52,AOG KRİTİK,2025,Q1,2025-Q1,4,2,1
PN-100041,72,ENGINE,AIRBUS,A321neo,YOK,,61,52,AOG KRİTİK,2025,Q2,2025-Q2,4,4,1
PN-100041,72,ENGINE,AIRBUS,A321neo,YOK,,61,52,AOG KRİTİK,2025,Q3,2025-Q3,6,0,1
PN-100041,72,ENGINE,AIRBUS,A321neo,YOK,,61,52,AOG KRİTİK,2025,Q4,2025-Q4,7,2,0
PN-100042,71,POWER PLANT,AIRBUS,A321-200,VAR,12.0,36,35,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,0,0
PN-100042,71,POWER PLANT,AIRBUS,A321-200,VAR,12.0,36,35,KRİTİK DEĞİL,2025,Q2,2025-Q2,3,0,1
PN-100042,71,POWER PLANT,AIRBUS,A321-200,VAR,12.0,36,35,KRİTİK DEĞİL,2025,Q3,2025-Q3,4,0,0
PN-100042,71,POWER PLANT,AIRBUS,A321-200,VAR,12.0,36,35,KRİTİK DEĞİL,2025,Q4,2025-Q4,2,0,0
PN-100043,30,ICE & RAIN PROTECTION,AIRBUS,A320neo,YOK,,63,28,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,0,0
PN-100043,30,ICE & RAIN PROTECTION,AIRBUS,A320neo,YOK,,63,28,KRİTİK DEĞİL,2025,Q2,2025-Q2,0,0,0
PN-100043,30,ICE & RAIN PROTECTION,AIRBUS,A320neo,YOK,,63,28,KRİTİK DEĞİL,2025,Q3,2025-Q3,1,0,0
PN-100043,30,ICE & RAIN PROTECTION,AIRBUS,A320neo,YOK,,63,28,KRİTİK DEĞİL,2025,Q4,2025-Q4,0,0,0
PN-100044,22,AUTO FLIGHT,AIRBUS,A330-200,VAR,11.0,38,16,AOG KRİTİK,2025,Q1,2025-Q1,3,3,0
PN-100044,22,AUTO FLIGHT,AIRBUS,A330-200,VAR,11.0,38,16,AOG KRİTİK,2025,Q2,2025-Q2,3,2,0
PN-100044,22,AUTO FLIGHT,AIRBUS,A330-200,VAR,11.0,38,16,AOG KRİTİK,2025,Q3,2025-Q3,4,4,0
PN-100044,22,AUTO FLIGHT,AIRBUS,A330-200,VAR,11.0,38,16,AOG KRİTİK,2025,Q4,2025-Q4,3,2,1
PN-100045,80,STARTING,AIRBUS,A321-200,YOK,,34,24,KRİTİK DEĞİL,2025,Q1,2025-Q1,2,0,0
PN-100045,80,STARTING,AIRBUS,A321-200,YOK,,34,24,KRİTİK DEĞİL,2025,Q2,2025-Q2,4,0,0
PN-100045,80,STARTING,AIRBUS,A321-200,YOK,,34,24,KRİTİK DEĞİL,2025,Q3,2025-Q3,2,1,0
PN-100045,80,STARTING,AIRBUS,A321-200,YOK,,34,24,KRİTİK DEĞİL,2025,Q4,2025-Q4,2,0,0
PN-100046,32,LANDING GEAR,BOEING,787-9,YOK,,27,26,KRİTİK,2025,Q1,2025-Q1,1,1,0
PN-100046,32,LANDING GEAR,BOEING,787-9,YOK,,27,26,KRİTİK,2025,Q2,2025-Q2,1,0,0
PN-100046,32,LANDING GEAR,BOEING,787-9,YOK,,27,26,KRİTİK,2025,Q3,2025-Q3,3,0,1
PN-100046,32,LANDING GEAR,BOEING,787-9,YOK,,27,26,KRİTİK,2025,Q4,2025-Q4,0,0,0
PN-100047,77,ENGINE INDICATING,AIRBUS,A320-200,YOK,,25,24,KRİTİK DEĞİL,2025,Q1,2025-Q1,1,0,0
PN-100047,77,ENGINE INDICATING,AIRBUS,A320-200,YOK,,25,24,KRİTİK DEĞİL,2025,Q2,2025-Q2,2,0,0
PN-100047,77,ENGINE INDICATING,AIRBUS,A320-200,YOK,,25,24,KRİTİK DEĞİL,2025,Q3,2025-Q3,0,0,0
PN-100047,77,ENGINE INDICATING,AIRBUS,A320-200,YOK,,25,24,KRİTİK DEĞİL,2025,Q4,2025-Q4,1,0,0
PN-100048,56,WINDOWS,AIRBUS,A321-200,YOK,,45,51,KRİTİK DEĞİL,2025,Q1,2025-Q1,3,2,1
PN-100048,56,WINDOWS,AIRBUS,A321-200,YOK,,45,51,KRİTİK DEĞİL,2025,Q2,2025-Q2,2,0,0
